municipio_id,year,isla_id,provincia_id,cmun,dc,nombre
35006,2013,352,35,006,9,Arucas
35008,2013,352,35,008,1,Firgas
35009,2013,352,35,009,4,Gáldar
35011,2013,352,35,011,5,Ingenio
35012,2013,352,35,012,0,Mogán
35013,2013,352,35,013,6,Moya
35016,2013,352,35,016,7,"Palmas de Gran Canaria, Las"
35019,2013,352,35,019,2,"San Bartolomé de Tirajana"
35021,2013,352,35,021,3,"Santa Brígida"
35022,2013,352,35,022,8,"Santa Lucía de Tirajana"
35023,2013,352,35,023,4,"Santa María de Guía de Gran Canaria"
35025,2013,352,35,025,2,Tejeda
35026,2013,352,35,026,5,Telde
35027,2013,352,35,027,1,Teror
35032,2013,352,35,032,6,Valleseco
35031,2013,352,35,031,1,"Valsequillo de Gran Canaria"
35033,2013,352,35,033,2,"Vega de San Mateo"
35004,2013,353,35,004,3,Arrecife
35010,2013,353,35,010,8,Haría
35018,2013,353,35,018,9,"San Bartolomé"
35024,2013,353,35,024,9,Teguise
35028,2013,353,35,028,7,Tías
35029,2013,353,35,029,0,Tinajo
35034,2013,353,35,034,7,Yaiza
38002,2013,381,38,002,7,Agulo
38003,2013,381,38,003,3,Alajeró
38021,2013,381,38,021,8,Hermigua
38036,2013,381,38,036,8,"San Sebastián de la Gomera"
38049,2013,381,38,049,1,"Valle Gran Rey"
38050,2013,381,38,050,4,Vallehermoso
38013,2013,382,38,013,1,Frontera
38901,2013,382,38,901,3,"Pinar de El Hierro, El"
38048,2013,382,38,048,8,Valverde
38007,2013,383,38,007,0,Barlovento
38008,2013,383,38,008,6,"Breña Alta"
38009,2013,383,38,009,9,"Breña Baja"
38014,2013,383,38,014,6,"Fuencaliente de la Palma"
38016,2013,383,38,016,2,Garafía
38024,2013,383,38,024,4,"Llanos de Aridane, Los"
38027,2013,383,38,027,6,"Paso, El"
38029,2013,383,38,029,5,Puntagorda
38030,2013,383,38,030,9,Puntallana
38033,2013,383,38,033,7,"San Andrés y Sauces"
38037,2013,383,38,037,4,"Santa Cruz de la Palma"
38045,2013,383,38,045,3,Tazacorte
38047,2013,383,38,047,2,Tijarafe
38053,2013,383,38,053,2,"Villa de Mazo"
38001,2013,384,38,001,2,Adeje
38004,2013,384,38,004,8,Arafo
38005,2013,384,38,005,1,Arico
38006,2013,384,38,006,4,Arona
38010,2013,384,38,010,3,"Buenavista del Norte"
38011,2013,384,38,011,0,Candelaria
38012,2013,384,38,012,5,Fasnia
38015,2013,384,38,015,9,Garachico
38017,2013,384,38,017,8,"Granadilla de Abona"
38018,2013,384,38,018,4,"Guancha, La"
38019,2013,384,38,019,7,"Guía de Isora"
38020,2013,384,38,020,1,Güímar
38022,2013,384,38,022,3,"Icod de los Vinos"
38025,2013,384,38,025,7,"Matanza de Acentejo, La"
38026,2013,384,38,026,0,"Orotava, La"
38028,2013,384,38,028,2,"Puerto de la Cruz"
38031,2013,384,38,031,6,"Realejos, Los"
38032,2013,384,38,032,1,"Rosario, El"
38023,2013,384,38,023,9,"San Cristóbal de La Laguna"
38034,2013,384,38,034,2,"San Juan de la Rambla"
38035,2013,384,38,035,5,"San Miguel de Abona"
38038,2013,384,38,038,0,"Santa Cruz de Tenerife"
38039,2013,384,38,039,3,"Santa Úrsula"
38040,2013,384,38,040,7,"Santiago del Teide"
38041,2013,384,38,041,4,"Sauzal, El"
38042,2013,384,38,042,9,"Silos, Los"
38043,2013,384,38,043,5,Tacoronte
38044,2013,384,38,044,0,"Tanque, El"
38046,2013,384,38,046,6,Tegueste
38051,2013,384,38,051,1,"Victoria de Acentejo, La"
38052,2013,384,38,052,6,Vilaflor
07024,2014,071,07,024,4,Formentera
07026,2014,072,07,026,0,Eivissa
07046,2014,072,07,046,6,"Sant Antoni de Portmany"
07050,2014,072,07,050,4,"Sant Joan de Labritja"
07048,2014,072,07,048,8,"Sant Josep de sa Talaia"
07054,2014,072,07,054,7,"Santa Eulalia del Río"
07001,2014,073,07,001,2,Alaró
07003,2014,073,07,003,3,Alcúdia
07004,2014,073,07,004,8,Algaida
07005,2014,073,07,005,1,Andratx
07901,2014,073,07,901,3,Ariany
07006,2014,073,07,006,4,Artà
07007,2014,073,07,007,0,Banyalbufar
07008,2014,073,07,008,6,Binissalem
07009,2014,073,07,009,9,Búger
07010,2014,073,07,010,3,Bunyola
07011,2014,073,07,011,0,Calvià
07012,2014,073,07,012,5,Campanet
07013,2014,073,07,013,1,Campos
07014,2014,073,07,014,6,Capdepera
